                                                                      # URB length [bytes], Data length [bytes], Leftover Capture Data
  329   8.535792         host → 2.4.1        USB 72 URB_BULK out     # 8,8,f0ff030000000000
  330   8.535865        2.4.1 → host         USB 64 URB_BULK out     # 8,0,
  331   8.535937         host → 2.4.1        USB 61504 URB_BULK out  # 262128,61440,800f00f4ff0000000000000000000000000900009f010000
  332   8.536156         host → 2.4.1        USB 72 URB_BULK out     # 8,8,1000000001000000
  333   8.536171         host → 2.4.1        USB 80 URB_BULK out     # 16,16,80808080808080808080808000004944
  334   8.536190         host → 2.4.1        USB 72 URB_BULK out     # 8,8,00d80f0002000000
  335   8.536573         host → 2.4.1        USB 61504 URB_BULK out  # 1038336,61440,000000000000000000000000000000000000000000000000
  336   8.536813        2.4.1 → host         USB 64 URB_BULK out     # 262128,0,
  337   8.537309        2.4.1 → host         USB 64 URB_BULK out     # 8,0,
  338   8.537320        2.4.1 → host         USB 64 URB_BULK out     # 16,0,
  339   8.537328        2.4.1 → host         USB 64 URB_BULK out     # 8,0,
  340   8.537453         host → 2.4.1        USB 72 URB_BULK out     # 8,8,40ff030000000000
  341   8.537578         host → 2.4.1        USB 61504 URB_BULK out  # 261952,61440,800f00c8ff000000000000000000000080f6ff5f9ff0ff1f
  342   8.537797         host → 2.4.1        USB 72 URB_BULK out     # 8,8,00381b0002000000
  343   8.538196         host → 2.4.1        USB 61504 URB_BULK out  # 1048576,61440,000000000000000000000000000000000000000000000000
  344   8.539850        2.4.1 → host         USB 64 URB_BULK out     # 1038336,0,
  345   8.539871        2.4.1 → host         USB 64 URB_BULK out     # 8,0,
  346   8.540253         host → 2.4.1        USB 61504 URB_BULK out  # 735232,61440,80599a8baf8e563c7703f363e3a7e976f27ff63afc363a56
  347   8.540454        2.4.1 → host         USB 64 URB_BULK out     # 261952,0,
  348   8.540795        2.4.1 → host         USB 64 URB_BULK out     # 8,0,
  349   8.540855         host → 2.4.1        USB 72 URB_BULK out     # 8,8,304d000000000000
  350   8.540885         host → 2.4.1        USB 19824 URB_BULK out  # 19760,19760,800f004413000000000000000000000080f6ff0f2ef1ff1f
  351   8.542963        2.4.1 → host         USB 64 URB_BULK out     # 1048576,0,
  352   8.543063         host → 2.4.1        USB 72 URB_BULK out     # 8,8,80da010002000000
  353   8.543130         host → 2.4.1        USB 61504 URB_BULK out  # 121472,61440,000000000000000000000000000000000000000000000000
  354   8.544700        2.4.1 → host         USB 64 URB_BULK out     # 735232,0,
  355   8.544718        2.4.1 → host         USB 64 URB_BULK out     # 8,0,
  356   8.544726        2.4.1 → host         USB 64 URB_BULK out     # 19760,0,
  357   8.544734        2.4.1 → host         USB 64 URB_BULK out     # 8,0,
  358   8.545043        2.4.1 → host         USB 64 URB_BULK out     # 121472,0,
  359   8.545058        2.4.1 → host         USB 72 URB_BULK in      # 8,8,0000000000000000
  360   8.545098        2.4.2 → host         USB 80 URB_BULK in      # 16,16,00000000000000000000000004000000
  361   8.545121         host → 2.4.1        USB 64 URB_BULK in      # 16,0,
  362   8.545142         host → 2.4.2        USB 64 URB_BULK in      # 1024,0,
